,Topic Title,Category,Tags,Leading Post,Post Replies,Created,URL,,,,,,,,,
46,Tapas’ pages takes too long to load,Tech Support | Site Feedback,[],Anyone here have the same issue? I keep reloading and reloading but still nothing,[],0,https://forums.tapas.io/t/tapas-pages-takes-too-long-to-load/61340,,,,,,,,,
47,Why my last two post is disappeared?  It could happen to you too!,Tech Support | Site Feedback,[],"Why did my last two posts disappear? 
A first post was about the implications of AI with the LGBT world, created on July 4th.
A second post was about an AI that helps humans feel emotions, created on July 5th.
I have not received any communication from anyone and the two posts have literally disappeared.
Is there anyone who is abusing his position as a systems engineer to silence uncomfortable opinions?","['My guess would be someone decided you create threads that are similar to your existing threads and could be easily put into one topic?..', 'Nobody told me why my threads were literally deleted.\nSomeone took the right to delete original threads without giving any justification.\nThis someone must have a name and a surname and as he did with me he could do with any of you all!\nI demand explanations, since it was a person who acted and this person must answer for his actions, give explanations and justify his behavior.', 'The fact that all your threads have links to your non-Tapas site and that you edited your post to bump the most recent one might be related too.I almost flagged it myself, but somebody else must have while I was wondering if I should start a discussion with the mods.', 'You can always ask the mods, but people probably consider it as some kind of spam  Try not to bump your threads a lot, some topics may just not be interesting for people ^^', ""Are you telling me that it bothers you that I link to promote my work?\nAnd what are everyone in this forum doing here if not promoting their work?\nRegarding some of my corrections to the topic, I don't think I'm the only one doing it: I try to improve what I write, and in any case I haven't done it more than 3 times, I'm sure!\nCan this bother anyone?"", ""If my topics aren't of interest to some people, they might be of interest to others, and whoever deleted my threads should at least restore them.\nOtherwise I have to think that this forum is not democratic and is someone judging on behalf of others?"", '\n\nSMZ:\nOtherwise I have to think that this forum is not democratic and is someone judging on behalf of others?\nOf course the forum isn\'t democratic. We don\'t hold elections for who gets to be a mod.\nThis is a privately owned website and the owners are allowed to delete literally any content they don\'t like at any time for literally any reason. This ability is also somewhat delegated to the community, meaning that if multiple community members flag a post, it gets hidden, and if that post is the only post in a topic, the whole topic gets hidden. If you think a topic has been flagged unfairly, you\'re welcome to take it up with the mods. In this case, your entire forum activity has consisted of making threads about your own website, which is not a comic or novel on Tapas, and posting exclusively in those threads, so I think it\'s reasonable people think that\'s quite ""spammer-like"" behaviour.', 'Ok, just know that there is no room for democracy and freedom of expression here!\nAre you really happy with this?Do you want to contribute to this?Then settle for the rubbish and everything else that might come to you!\nYour statements require corrections though:1) my graphic novel is partly also about Tapas;2) forums are places where topics are explored;3) precisely to produce other episodes;4) is there anyone who would like to stop me from doing this?5) mistaking me for a spammer is acting as a ""spammer""!', ""\nShe doesn't\nDiscuss shit and talk like normal people because world exists outside your creation.\nDon't start similar topic on rapid succession. It's spammy and we're bothered, especially you word it like an obvious click-bait of something uninteresting. We've had our deal with spammers who keep making threads and it's acceptable for them to want some peace.This is a Tapas forum, not any random writer's forum.  It's also stated in the forum rule2 to celebrate works on Tapas, not any other sites (see point 6). If you have novel/comic on Tapas, link those instead.\n\nWhat the fuck is even freedom of speech or expression you're talking about? Nobody is silencing or oppressing you for having an opinion, you're just making boring threads too often that people see it as spam. You're still free to contact any staffs for assistance."", ""Thanks mod for the reply,but there is someone here who obviously would like to prevent the development of certain arguments.\nIf it is not allowed to do something, it is sufficient for it to be communicated, so that it can adapt.\nSo I am waiting for the restore as soon as possible.\nI just want to point out that if a group of people here want to agree to prevent others from communicating on certain topics, they could apparently do so by pretending to be moderators, when they are alone ... I don't want to use the word but the reader can understand!"", ""There is no such thing on a forum. The threads only disappear when a few random regulars flag them because they thought it's a topic that either doesn't belong on the forum or is of a spam nature. There is no conspiracy against the threads you create or topics you want to discuss. Just people who thought you are advertising not-a-comic, but a site of a different nature(or something like that). Also a lot of bumping, people generally don't like threads with no answers being bumped a lot."", ""I understand that there can be misunderstandings and that sometimes you have to make an extra effort to understand each other.\nBut if I'm here it's because I'm developing a story about AI with the language of comics and I want to interact with those who use the same medium.\nRefer to the AI \u200b\u200bprotagonist of my comic, when it is also a software with which to talk, I do not consider it spam but involvement and verification for feedback.\nThis creative process is about visual art and the art of programming, but the most important thing is empathy.\nI am checking if this forum exists empathy for this way of creating and if there are sympathizers with my work and who would like a further development of the story."", '\n\nSMZ:\nBut if I\'m here it\'s because I\'m developing a story about AI with the language of comics and I want to interact with those who use the same medium.\n\n\n\nSo... yyou want to make comics about an AI character... right?\n\n\nSMZ:\nI am checking if this forum exists empathy for this way of creating and if there are sympathizers with my work and who would like a further development of the story.\nHmmm... I\'m not trying to repress you or anything,, but maybe, MAYBE, if you want to experiment the potential of your idea, why don\'t you just publish it and stablish a realistic cut of subs or views? You know, we\'re almost all creators here, overworked, tired, some working multiple jobs/gigs, taking care of kids, etc. We\'re not good lab rats XD\nWhen I released my novel, I just released it and told myself ""If I get 10 subs in 24 hrs it has some potential. I got 15, then I\'m still writing it ', ""Sorry but you're being extremely rude and entitled."", ""Hey I feel like you're panicking and making assumptions . Just calm down man I'm sure the mods will get on it as soon as they can. It might've been a mistake and @Jenny-Toons clearly pointed out that it was a system automated response."", 'I believe that I will continue to proceed despite everything, because now I am in the game and I cannot back down.\nI will have to give myself tighter deadlines to finish what I started.', ""I don't understand how you can attribute to me the characteristics you say: I don't know you but it seems that you know me!\nWhat did I do to hurt you so much that you say what you said?"", 'Yes, thanks for the invitation to calm down, but I got very angry at what felt like an act of bullying and I was reacting!\nHowever, I will try not to lose my openness and availability, on the contrary, I will try to improve if necessary and if I am pointed out that something is wrong.']",7/5/2021 6:31,https://forums.tapas.io/t/interrobang-why-my-last-two-post-is-disappeared-interrobang-it-could-happen-to-you-too/61218,,,,,,,,,
48,I can’t view my own empty series,Tech Support | Site Feedback,[],"I opened up a new series without any scheduled/released updates, and when I go to click on the series from my dashboard, it gives an error code of 500. If I log out or view it in a private window, it loads just fine, but when I go to sign in, it gives me the same error.
Thanks in advance!","['I found that problem just today too. If you add a random chapter/episode you should be able to see and edit the series.', ""Well, the only problem is if I do create an episode, others that subscribe to me will get notified, and I'd prefer to keep unreleased series unreleased."", 'I have multiple drafts set, yet the same issue persists.', 'It works when you schedule an episode. Schedule one for 2022 for the time being.\nLike so -\n \n1.jpg1122x304 47.1 KB\n']",7/6/2021 18:56,https://forums.tapas.io/t/i-cant-view-my-own-empty-series/61305,,,,,,,,,
49,A little help? Blocked Story?,Tech Support | Site Feedback,[],"I received a private message from staff that one of my stories had been removed for disobeying the guidelines. But I looked and it doesn't look like any of my stories are missing but I could be wrong too. People are still reading my stories despite me being on hiatus on everything. It is possible it was a mistake and they put the story back? I dunno because I followed all the rules and read them carefully.
Did I get dinged by mistake? I was gone for a while cause I had to move. So I am not sure if my response isn't being answered because I was away when I was contacted and couldn't respond and now that staff is gone maybe? 
Is there any staff who can take a look and let me know in the next few days what is going on. Thanks.",[],0,https://forums.tapas.io/t/a-little-help-blocked-story/61279,,,,,,,,,
50,How did I get a Tapas notification when it’s blocked?,Tech Support | Site Feedback,[],"Hey so I have all notifications blocked on my phone on most of my apps--Tapas included. I use an android, I go into settings, and I just click ""block all notifications"" on the app itself. Should be impossible to break through that. Yet, I was real surprised to get a full-screen ad from my Tapas app when I turned on my phone today. Is that normal? What the hell happened?
FYI I only just installed Tapas to my phone this past week. This is the first time this has happened, and hopefully the last time or I'm just uninstalling.","['I think this popped up in another in another thread...it\'s because they are set as Alarms...\n\n\n\nTapas Notifications set as ""Alarms""? Tech Support | Site Feedback\n\n\n    So I\'m normally not one to complain about Tapas notifications. I get that Tapas is a business and it\'s necessary to have these push notifications about new premium series etc. ...But one just crashed my computer and I really feel like I need to flag this as an issue. \n\nI have my Windows 10 set up so that only ""alarm"" notifications will show up while I\'m playing a game. This means that most Tapas notifications, like ones about likes and comments and the like will not pop up on my screen when I\'m …\n  \n\n', ""it's so weird. Blocking all notifications should block everything though, right? Especially since it's a phone. I don't have this problem on any of my other apps."", ""Yeah, it sounds sketchy to me. \nI'm not very tech savy but I don't think a lil' webcomic app should be looking for work-arounds to someone choosing to block notifications."", 'Maybe it is a glitch that they made without even knowing it?', '\nvmr8p58yevp01.jpg1440x764 265 KB\n', ""It could be that something weird happened with my phone, or they just don't realize they've crossed a privacy line with their notifications (or they hella do and don't care). Either way, it hasn't happened since, but I'll update if it does."", 'Ah, that was funny thing that happened when I first install Tapas. Not sure why blocking the notifications on the Tapas App does NOT work, but you can block notification from your phone setting too. It worked for me.\n1) Go to your ""Settings"" for your phone2) Go to ""Apps & notifications""3) Select on the Tapas App. (Check all app list)4) Select ""Notifications"" under the Tapas App, and select whatever settings you want.', ""yeah, this is exactly what I did when I first downloaded the app, which is why I'm confused as to...what could have possibly happened."", ""Ah, I am also confused now.\nThe only action I can suggest is check that the Tapas app and your phone's system is up to date with the latest version (if possible), and make sure notifications is blocked from the Tapas app Setting. Otherwise, hope that Tapas tech support can help..."", 'thanks @ratique! ', 'YO This happened again today! It went pushing a sale and that should be impossible! How is this happening?\nAnyone else have this problem?', 'I\'ve noticed that on Windows, the advertising notifications (unlike the notifications about new updates to things I follow, or new subs on my comic) are set as ""Alarms"" so they\'re set to SUPER HIGH PRIORITY and pop up even if I\'m in the middle of a game or something, because they\'re in the same category as alerts telling me I have a work meeting in ten minutes. I\'m not super-happy about it because I\'d feel pretty embarrassed if I was sharing my screen in a work meeting and something popped up with like... I dunno ""The reborn Villainess is simping for the baby king! Will she find love!?""\nI even made a thread about this and got no staff response. \n\n\nTapas Notifications set as ""Alarms""? Tech Support | Site Feedback\n\n\n    So I\'m normally not one to complain about Tapas notifications. I get that Tapas is a business and it\'s necessary to have these push notifications about new premium series etc. ...But one just crashed my computer and I really feel like I need to flag this as an issue. \n\nI have my Windows 10 set up so that only ""alarm"" notifications will show up while I\'m playing a game. This means that most Tapas notifications, like ones about likes and comments and the like will not pop up on my screen when I\'m …\n  \n\n', 'Wowwww sounds like.... a problem.... that they don’t want to fix 🤭🤭🤭', ""Right??? And like I have it on my phone so I can check my comic, but if I wasn't a creator--I'd hella delete this app. No other app does this to me. Straight up nonsense."", 'I had a look into what might be causing the issue, and it\'s fairly straightforward.\n\n\ndocs.microsoft.com\n\n\n\nWNS Notification Priorities - Windows apps\nDescription of the various priorities that you can set on a notification\n\n\n\n\n\nBasically, unlike the push notifications we get for updates to things we follow, or new likes, followers or comments, which have their priority (also called urgency in some other push notification things, it seems) set to ""medium"", the ones that are adverts are set to ""high"". That\'s why it\'s impossible to deactivate them without blocking all Tapas notifications- to your device, these ARE just Tapas notifications, but it has been told that they\'re REALLY IMPORTANT notifications on the same level as ""you have a google calendar appointment to meet with your boss in 10 mins, yo!"" ones that it should show you even if regular notifications are being hidden by quiet mode, gaming mode etc.I can understand how this could have happened without malicious intent; to the Tapas team, I\'m sure the advertising notifications are ""higher priority"" than the other ones. It was probably set that way without realising just how intrusive a high priority ""toast"" notification is.\nI would greatly appreciate it if the Tapas team would consider setting the priority/urgency of these notifications to the default ""medium"" as a small but worthwhile quality of life change. ', ""@TapasCommunityTeam I feel like it's pretty important to bring attention to this again with Kate's information. If I'm in a hurry to open the phone, the LAST thing I want is some fourth of july ink sale - I can check that on my notifications when I have the time."", ""What's crazy is that I have deleted all tapas notifications--like completely--and not even that can stop them. ahhh"", 'Have you unsubscribed from the notifications in your browser?']",5/28/2021 15:25,https://forums.tapas.io/t/how-did-i-get-a-tapas-notification-when-its-blocked/59607,,,,,,,,,
51,Weekly performance reports,Tech Support | Site Feedback,[],"I've noticed that while the daily performance reports show likes/subs/views per day, and the monthly reports show them per month, the weekly section just shows them by day again, but limits the range to one week's worth of days. I'm not sure if that was the intention, but I don't see much use for this view since the same info is available in the daily view. I would find it more helpful to have the total number of likes/subs/views for each week in that tab. Is this something that could be updated?
Thanks!
@victoria1 @ratique","[""Honestly I agree? I don't know why weekly wouldn't be the stats per each week."", 'It’s just daily stats but with extra steps', ""I get this exact problem. In case you're wondering, I was able to reproduce this bug on both Firefox and Google Chrome on Windows 10. \nweekly.png1670x857 23.9 KB\n""]",6/30/2021 22:11,https://forums.tapas.io/t/weekly-performance-reports/60975,,,,,,,,,
52,[Bug] Chapters: Interactive Stories for 2k Ink,Tech Support | Site Feedback,[],"So basically I cannot actually do the Chapters complete 5 chapters thing for ink because of something blocking it, I can't get a way around it too. 
Here let me show you: This is what I'm trying to do right?
IMG_4261-min.PNG1242x2208 617 KB

Now the issue is when I try to click on it this happens: Limit Ad Tracking does not exist on my phone, I've tried various ways to find it and with no luck. I've been recommended to just go to the app in settings and turn off allow tracking but that does not help either in fact it just creates a new problem. 
PKSSE2375.JPG2396x3212 751 KB

The very place ""Limit Ad Tracking"" SHOULD be is in Privacy, however ""Advertising"" where ""Limit Ad Tracking should be has been replaced with ""Apple Advertising""
DAJIE9997.JPG2636x2332 547 KB

You may also be wondering if my iOS is up to date and to that I say, yes, yes it is. 
Look I just want my 2k ink, and an excuse to play episode... I've been trying to get the ink for weeks now and it's a none stop issue I don't know how to work around. Now I'm trying the Tapas Forums help...","['The official channel for trouble is to mail at feedback@tapas.io', 'Is there a specific way or template to mail them?', 'Can I maybe just mail them and link this post?', ""Try that. That's a new way""]",7/2/2021 11:02,https://forums.tapas.io/t/bug-chapters-interactive-stories-for-2k-ink/61100,,,,,,,,,
53,SPAMMER in COMMENTS Doing Rounds Again,Tech Support | Site Feedback,[],"SPAMMER in COMMENTS Doing Rounds Again

SPAM COMMENTS.jpg752x404 44.6 KB



tapas.io10



venomfate1127
Your home for the world's most exciting and diverse webcomics and novels from every genre. Discover stories you'll love, only on Tapas!





","[""I haven't encountered this one before "", ""just encountered this today but it's by a different person"", ""There was just a thread about this.\nI was told to email feedback@tapas.io with screenshots and a link to their profile.\n\n\nOffers of publishing in comments etc. anyone get this one\n\nE-mail a report to feedback@tapas.io with a link to the account's profile and a description or screenshot of their offenses."", ""I have been approached by this person, and seeing that the name looked so unofficial I checked their account, to see that they have made over 170 comments on different novels with similar wording, so yes, it'd definetly spam.\n\nBildschirmfoto 2021-03-29 um 10.05.14.png1406x2364 624 KB\n"", 'Ditto. Multiple comments from NovelStar.', ""I got a couple from different accounts already, too. Didn't know what to do with them, but I'll report now."", 'Lol, these people just mistook my comic for a novel. \n\nSchermopname (53).png284x530 33.1 KB\n', ""Anudder one bites... anudder one bites... anudder one bites da duhhhstt...\n\n\ntapas.io4\n\n\n\nyourcreativewarrior\nYour home for the world's most exciting and diverse webcomics and novels from every genre. Discover stories you'll love, only on Tapas!\n\n\n\n\n\n"", ""What's worse is it's a compliment so I'm always half-tempted to leave it cause it's a complimentttttt UGH Why, spammers? Why?!"", ""\n\n\ntapas.io2\n\n\n\nJuliana\nYour home for the world's most exciting and diverse webcomics and novels from every genre. Discover stories you'll love, only on Tapas!\n\n\n\n\n\n"", ""SPAMMER/SCAMMER ALERT JUNE 30 2021\n\nSPAMMAH.jpg1298x394 97.3 KB\n\n\n\ntapas.io3\n\n\n\nkera__wood\nYour home for the world's most exciting and diverse webcomics and novels from every genre. Discover stories you'll love, only on Tapas!\n\n\n\n\n\n@victoria1"", ""A Novel Star employee dm'ed me on Instagram asking me if I was interested in publishing on their app. I was tempted to, but luckily I didn't. And then, just a few days ago, I saw someone say that Novel Star hasn't been able to get the authors to publish their works there and have thus taken the works of authors, unbeknownst to them, and put it under a different name."", ""Don't belittle yourself. There is no need to keep superficial compliments like these. Have faith in your skills and rightfully earn the compliments you recieve."", ""I wonder if they're stealing our works from here or not."", ""SPAMMER/SCAMMER ALERT JULY 01 2021\n\n\n\ntapas.io1\n\n\n\nLaggienail\nYour home for the world's most exciting and diverse webcomics and novels from every genre. Discover stories you'll love, only on Tapas!\n\n\n\n\n\n@victoria1"", ""I surely hope not! A tapas employee told me that they've had more issues with their comics being stolen than their novels. But if they're scouting around here then those receiving those messages should definitely alert Tapas as some of those on Wattpad/Webnovel have already said their stories were stolen."", ""I see. Damn. Why are they so desperate?  They seem like bunch of kids decided to make an entire platform lmao Anyway, I'm relieved that Tapas is protecting us."", ""So... I'm just going to put this here for @staff to see xD\nIt's a new type of spam guys! And it's pretty hilarious \n\nScreenshot_20210702-103528_Tapas.jpg1080x1373 437 KB\n""]",3/28/2021 8:15,https://forums.tapas.io/t/spammer-in-comments-doing-rounds-again/56778,,,,,,,,,
54,My novel isn’t showing up on the site,Tech Support | Site Feedback,[],"I just updated a new chapter for my novel early this morning.  When I'm browsing the sections (trending, popular, fresh) for BL, free-to-read it doesn't show up - no matter how far I scroll down. Yesterday it was number 22 in the popular section. It also won't show up when I'm searching the specific tags I used. 
This is happening on both the desktop browser and my android device app. I even had an episode already scheduled for next week, I deleted it, and re-uploaded it to see if that would reset anything, but no luck.
Please help. This is the prime time to get new views and readers.  @victoria1
My novel is called ""Dark Dominion"" by LettieKat. I don't know if I need to post a link to it or anything.","[""Does anyone know if there is someone else I should be tagging, that could help me with this? (I'm still pretty new to this.) I asked a friend to browse their app for my novel, and they couldn't find it either.  \nRight now, I'm getting likes and comments from my current subscribers, so I know the story is showing in their libraries, but I'm not getting anything new. For the past few days, my novel was doing so well- I gained 60 subscribers in 5 days! Now, there's nothing, even though I posted a new chapter today."", ""@ratique @lauren685 @joannekwan\nIs there anyone that can help me? Right now, the ONLY way to get to my novel is to manually type it in the search, unless it's already in someone's library. I honestly don't care how far I have to scroll down in the browsing sections to find my story, I just want it to be accessible to new readers in some way.\nPlease- I was building such momentum this past week."", ""Thank you so much! I just saw it (sorry I seemed a bit desperate). It's showing up in my tags too- it worried me when it wasn't even listed there."", 'It usually takes a while. When I first posted here, I also freaked out a bit lol.', ""I do understand that- especially when it comes to the 'fresh' section. It was that my story disappeared completely, and could only be found by directly typing in the title to search. I promise I wasn't just impatient or going crazy. One of the tags on my novel only brings up 2 pages of results, and it wasn't even on there. \nThank goodness it's back now, and I even have a few new subscribers since I have been able to find it in the browsing sections."", 'I had the similar experience haha. I suppose it’s a common thing for new posts? It happens to me every time I post a new series.', ""Ugh, that's frustrating! I hope it doesn't happen again- I felt like most of today was a wasted opportunity. My series isn't completely new though, I've been consistently updating for over a month now."", 'Oh. In that case, it’s a rare issue. Must have been a bug.']",7/1/2021 12:37,https://forums.tapas.io/t/my-novel-isnt-showing-up-on-the-site/61037,,,,,,,,,
55,Suggestion: bring different languages to the page,Tech Support | Site Feedback,[],"I would like to have the possibility that the content of the comics, for example, are published in Spanish or any other language than English.
I feel like it would be a great idea for people from different parts of the world, in my opinion.","['You mean letting authors have different language versions without needing to create a separate comic/novel? Being able to browse comics/novels by language? Or is it about premium series being translated into more languages?', ""There is a Spanish scene here on Tapas that have comics in Spanish to read. Not as big as the English scene, but it's there. A lot of authors who are bilingual publish 2 versions.""]",7/1/2021 12:07,https://forums.tapas.io/t/suggestion-bring-different-languages-to-the-page/61042,,,,,,,,,
56,How long does it take Tapas to answer an email?,Tech Support | Site Feedback,[],"They claim the answer time is between 24-48h, but my experience is much longer than that. For example, I've question sent 13th of June. Days went by, and I bumped my question 22nd of June and got a reply; however, the reply just stated the obvious and never answered my question. Nothing more. I was a bit baffled by this and demanded an answer. However, now eight days have gone by once again, and nothing. I bumped the question again and... We shall see... 
On top of this, this same (email) question has been previously closed without ANY response—2nd-4th of June.
Interestingly enough, I've noticed a pattern that one certain, uhm,""Replier"" is rather bad at their job, if you take my meaning. Why? Well, I have previously received a reply from ""other tapas team member"", and replies have been a lot better and actually provided an answer. For some reason, though, I seem to get this one numb-nut always. Unlucky, eh? 
So, I'd love to hear whether your experiences differ from mine. Hopefully, they do. Also, do Mods have anything to comment on the matter?","['Maybe it would be better to tell about the problem on forum and tag them specifically? victoria1 seems to answer pretty quickly.', ""They  never replied to my email for a certain event submission.\nThey never replied to my Instagram PM.\nI don't think I have seen Tap News1 staff (a series where Tapas posts their official news) replying to any message or question there, correct me if I'm wrong.\nStrangely enough, it seems like some employees on this Forum are active if you tag them.\nHonestly I hope they are as active on email and other social media as they are on this Forum."", ""I do agree that if one doesn't mind asking a question publicly, this is an excellent move. However, as the title states, I made for this thread mostly inquiring about other experiences with Tapas email system. "", ""Curious! Thank you for this reply.   I do agree with that! It's quite interesting how Tapas' forums differ so much from other parts of the site. "", ""Thank you! Even though this wasn't the sole intention of the thread, I'll dm you the ticket number posthaste. "", 'Ah, I guess it really depends on who you are talking to, or the nature of e-mail itself... So far all the staff (except the Premium pitching) answered me in a span of one day.']",6/30/2021 15:15,https://forums.tapas.io/t/how-long-does-it-take-tapas-to-answer-an-email/60990,,,,,,,,,
57,Episode number out of order,Tech Support | Site Feedback,[],"One of my series has done an odd thing. The numbers go 35, 36, 47, 38, 39 etc. So basically 37 has become 47 for some reason. Any way to fix this?",[],0,https://forums.tapas.io/t/episode-number-out-of-order/60968,,,,,,,,,
58,“Descending order” series setting does not “start readers from your most recent episode”,Tech Support | Site Feedback,[],"In webcomic series settings, under Details, near the bottom, there's a toggle setting called ""Descending order"" whose description reads ""New readers will start from your most recent episode.""
This does not seem to work. I have Descending order switched ON (switch background is black, circle is to the right), but when I browse to my series
https://tapas.io/series/smbhax4
in a new browser, not logged in, I am started at the series' first episode (it was this way when I tried setting the switch the other way, also).
I created two new accounts just to double and triple check, but when I searched and clicked to my series, they started at the first episode, not the most recent.
The only thing the switch actually seems to do is change the way the episodes are ordered in the episode list on the right-hand side: when ""Descending order"" is switched ON, the latest episode is at the top; when switched OFF, the latest episode is at the bottom.
Incidentally, when set to ON, the direction of episodes in the episode list (old (previous) is down, new (next) is up) does not match the direction of the arrows shown on the ""Prev"" and ""Next"" browsing buttons in the bottom button bar: there, ""Prev"" always shows as up, and ""Next"" always shows as down--the opposite of the direction readers are actually moving in the episode list when the episode is set to the Descending order ""ON"" setting.","[""That does seem to be a problem on my end as well, it's always going to the first regardless of how you've set it up. Because the landing page is still active, it might be affecting only that page and not what it actually used to do."", 'The ""Descending order"" setting is still not working correctly, as described in the original post.', ""Yeah, I wish this was fixed, too, and would display the most recent upload like Webtoons does. Why give us the toggle if it doesn't do anything? Plus, having readers see our most recent page instead of our first page really does make a difference. I'm sure readers don't give some series a second look because of this.""]",5/29/2020 9:00,https://forums.tapas.io/t/descending-order-series-setting-does-not-start-readers-from-your-most-recent-episode/44416,,,,,,,,,
59,Is there anyway to report a page missing on an official comic?,Tech Support | Site Feedback,[],This is probably a minor gripe but if I was reading an official tapas release of a Korean comic and it seemed like a page was  missing. Would there be a way to report this? I was finally paying for an official release and compared to the original Korean version there is definitely a panel or two missing! It’s like this on the digital and desktop version. Is this just how the comic was given to Tapas when it was translated or is there some kind of unknown glitch? Is there a way to report this if the mods can’t do anything? I can link and send a screenshot if that would help anything.,['I think you can email: feedback@tapas.io or maybe @victoria1 or @ratique can help?'],6/27/2021 15:52,https://forums.tapas.io/t/is-there-anyway-to-report-a-page-missing-on-an-official-comic/60847,,,,,,,,,
60,Again no ink for reading (5 vs 200 episodes require),Tech Support | Site Feedback,[],"
Screenshot_20210627_095749_com.tapastic.jpg720x1560 181 KB

Aka 5 or 200 episodes? (btw. how can I read 200 episodes, when whole serie has only 44 episodes?)
Is someone manually rewriting number from one place to another? Who programmed that thing?
@victoria1 @ratique","['I am having the exact same problem, it will not give me the 200 ink either.']",6/27/2021 12:31,https://forums.tapas.io/t/again-no-ink-for-reading-5-vs-200-episodes-require/60825,,,,,,,,,
61,Images broken in comics,Tech Support | Site Feedback,[],"
image.png1561x609 114 KB

it's been a broken image for just 1 or 2 images for a few episodes for this comic so far. not sure why",[],0,https://forums.tapas.io/t/images-broken-in-comics/60770,,,,,,,,,
62,Posting on pages error,Tech Support | Site Feedback,[],"Hello, I'm trying to post ""thank you"" messages on my subscribers' pages and I keep getting this error. Has anyone dealt with this issue before?
Error
What I'm trying to post:",[],0,https://forums.tapas.io/t/posting-on-pages-error/60680,,,,,,,,,
63,My Account Milestone was resetted,Tech Support | Site Feedback,[],"Can someone help me with this... idk if it's a bug or not. I clearly have 436 subscribers already.I kept pressing the next milestone button but it doesn't do anything.I'm worried because i recently updated my webcomic and I already receive a support from my reader but now i can't view it anymore because the support tab is missing in my dashboard.Please help me...

dawdw.PNG1366x768 131 KB

dwadw.PNG1366x768 124 KB
","['@victoria1 Could you help out here, please~', ""please help me... i'm so worried and anxious about my readers right now. I just updated my comic for a long time hoping that my readers will support me again and now this happens. Can they still send me inks?"", 'Must be a bug for sure.', ""I'm also having this same issue and posted about it yesterday! It reset my milestone back to ad unlocking which I did LAST YEAR. My support button also disappeared and if I go to https://tapas.io/dashboard/support2, it lags and lags until it says error. I've tried this on different browsers, too. Tech support hasn't responded to me and I've contacted them on all platforms."", ""The staff hasn't responded to me yet... Kinda feel sad I've worked so hard to for this comic and this happened "", '@ratique could you help boost this to whoever needs to see it?', ""I know waiting sucks and you feel ignored right now, but it will get fixed. Your hard work hasn't gone anywhere. Deep breaths!"", ""Thank you. I'm just worried because i still have remaining balance on my account and i still haven't withdraw it. I'm scared it will all begone."", ""Honestly, I think that's very unlikely! Whatever is blocking it can probably be fixed (seems like some others have had the same thing happen?), and even if it was more complicated, most likely there's a record of what was in your account that could be recovered."", ""@victoria1 It's still the same..."", ""It's still the same. I tried logging in and out my acc and still no change"", ""Sorry, but it's still the same \ncsccz.PNG1366x768 130 KB\n"", ""Thank You so much. I'm glad it's now fixed""]",6/20/2021 5:13,https://forums.tapas.io/t/my-account-milestone-was-resetted/60498,,,,,,,,,
64,Forgot both email and backup email for sign in,Tech Support | Site Feedback,[],"Hi!
One of my friends on Tapas reported a problem to me that she had forgotten both her email and backup email for her account. Is there any specific way to recover her emails for her account? It’s really important to her.",[],6/22/2021 18:34,https://forums.tapas.io/t/forgot-both-email-and-backup-email-for-sign-in/60605,,,,,,,,,
65,Can’t see novels on app,Tech Support | Site Feedback,[],"Before I try contacting mods/tech support, I just want to see if anyone else is having this issue.
When I'm on the app and select ""novels"" from the home page, no results load. Every category is empty, which means even premium novels aren't showing up. Comics seem to be working just fine. I've tried clearing the cache and restarting the app, but still no novels.
Anybody else?","['LMAO, nevermind... I switched it to ""all genres"" and suddenly things started to load, including in the genres that were empty moments before. Hopefully it\'s just my device that had this issue.']",6/22/2021 14:05,https://forums.tapas.io/t/cant-see-novels-on-app/60589,,,,,,,,,
66,Error when I preview,Tech Support | Site Feedback,[],"I've been getting an error everytime I preview my comic before publishing it, I've tried refreshing but it doesn't seem to work","[""I have the same issue. I contacted customer support, but no luck. I can preview the comic, if I schedule it, but I'd like to be able to preview before scheduling.\nimage.png749x651 42.5 KB\n"", 'It actually started working about an hour ago! Thanks for the reply.']",6/20/2021 22:57,https://forums.tapas.io/t/error-when-i-preview/59787,,,,,,,,,
67,CSP Text tool help,Tech Support | Site Feedback,[],"what is going on??? It won't let me select fonts or word size, what happened????
Screenshot (297).png1920x1016 120 KB
","[""I think there's probably a window missing that is normally there just like there's normally a window for brushes to alter opacity and that. Maybe try looking for where you can toggle windows on and off? \n((I can't read these options though "", '\nimage.png1920x1080 340 KB\nyou have the tool property window missing. when you have the text tool selected, you should be able to go up to the window drop down menu and it will have it popped up under subtool', ""Go to your windows tab and see if 'tool property' is on. \n"", 'ok nevermind it fix now ']",6/20/2021 12:29,https://forums.tapas.io/t/csp-text-tool-help/60507,,,,,,,,,
