,titles,replies,views,activity,category
420,"As a reader, what entices YOU?",10,270,Dec '20,writing-novels
421,"Teens as basically kids, or basically adults? (+poll)",142,436,Dec '20,writing-novels
422,When you find the embodiment of a character,9,255,Dec '20,writing-novels
423,Does anyone else like to let their characters write themselves?,181,163,Dec '20,writing-novels
424,Any New Novelists Out There?,3,8.7k,Dec '20,writing-novels
425,Writing group? Jan 2021,100,74,Dec '20,writing-novels
426,Recommendations Wanted In Exchange for Free Subs!,6,578,Dec '20,writing-novels
427,What is Your Endgame?,121,346,Dec '20,writing-novels
428,Valentine’s Staff Pick Chance for Novelists!,15,1.0k,Dec '20,writing-novels
429,A thread of writing ideas :D,165,168,Dec '20,writing-novels
430,How do you reveal that your characters are aliens…?,24,87,Dec '20,writing-novels
431,Question About Editing,260,146,Dec '20,writing-novels
432,Writing elderly characters… a surprise,14,172,Dec '20,writing-novels
433,Why do we love to classify people (in fiction)?,165,192,Dec '20,writing-novels
434,Are title “flourishes” ever really necessary?,25,324,Dec '20,writing-novels
435,Get ready for Halloween! “The Shadows in Runrick” - Re-upload,874,193,Dec '20,writing-novels
436,Give me wholesome chapter ideas!,27,68,Dec '20,writing-novels
437,Tips for Creating Emotional Impact,136,138,Dec '20,writing-novels
438,(T/F)’Negative character traits are actually their positive traits turned up to 11’,5,264,Dec '20,writing-novels
439,Genre Diversity Discussion,112,459,Dec '20,writing-novels
440,Hemingway app - online editing,23,82,Dec '20,writing-novels
441,Are you ever scared that you’ll accidently retcon your own story?,247,210,Dec '20,writing-novels
442,How do you guys plan out your stories?,22,429,Dec '20,writing-novels
443,Share Your Favourite Moments From Your BL Novels 💕,256,185,Dec '20,writing-novels
444,Do you experience (in your mind) what you’re writing?,8,336,Dec '20,writing-novels
445,Picking the Tropes to Use,190,128,Dec '20,writing-novels
446,I’m doing romance research- Help?,14,152,Dec '20,writing-novels
447,Can I use it as a story tool?,244,135,Dec '20,writing-novels
448,Should I give up posting novels to Tapas?,5,554,Dec '20,writing-novels
449,Grammarly just for kicks and… I don’t think so,120,192,Dec '20,writing-novels
450,Writers and Readers! Which communities are best?,4,228,Dec '20,writing-novels
451,How do you organize a visual novel script?,105,139,Dec '20,writing-novels
452,Characters Fainting,11,235,Dec '20,writing-novels
453,Best ROMANCE Tropes,221,967,Dec '20,writing-novels
454,Naming Characters,2,191,Dec '20,writing-novels
455,What do you think when you see this girl?,81,344,Dec '20,writing-novels
456,Story Planner–a helpful site to plan your stories on!,3,108,Dec '20,writing-novels
457,"Word Counts, why?",98,248,Dec '20,writing-novels
458,Where do you put Tapas on your road to success?,24,499,Dec '20,writing-novels
459,New Novel Projects 2021!,186,288,Dec '20,writing-novels
460,How do you plan/map our your comic/novel?,33,369,Dec '20,writing-novels
461,"Attention all parents, and others: can you read my short story?",309,140,Dec '20,writing-novels
462,Give feedback on my fantasy cover please,36,157,Dec '20,writing-novels
463,How do you feel about talking animals?,197,192,Dec '20,writing-novels
464,Writers/Novelists: What do you offer when an ink goal is reached?,20,91,Dec '20,writing-novels
465,Images in novels?,177,136,Dec '20,writing-novels
466,A hypothetical emergency childcare situation,2,176,Dec '20,writing-novels
467,Throw Back Story,159,97,Dec '20,writing-novels
468,I keep getting writer’s block OTL,25,112,Dec '20,writing-novels
469,Changing Cast Lists,332,103,Dec '20,writing-novels
470,NOVELS: Guidelines for pitching to Premium,2,5.5k,Dec '20,writing-novels
471,Writing programs like “Grammarly” creating homogenous writing?,116,352,Dec '20,writing-novels
472,Words to use instead of “Said”,8,291,Dec '20,writing-novels
473,Writers check this out!,150,235,Dec '20,writing-novels
474,Changing Characters’ POVs,38,246,Dec '20,writing-novels
475,Discussing polyamory in writing,279,281,Dec '20,writing-novels
476,Announcement to my dear readers from the unkownuser24 regarding The blood wars,10,159,Dec '20,writing-novels
477,"Punctuation, grammar and spelling are important",128,310,Dec '20,writing-novels
478,Time saving tools for writing,4,293,Dec '20,writing-novels
479,How Do You Make Something Visceral?,141,199,Dec '20,writing-novels
480,"I lost a bet, now I have to write some BL",37,222,Dec '20,writing-novels
481,50+ Chapter Novels!,184,486,Dec '20,writing-novels
482,Hard Copy requests,26,176,Dec '20,writing-novels
483,Final Countdown Read 4 Read / Support 4 Support,198,165,Dec '20,writing-novels
484,Someone help me with my logline. Please!,13,139,Nov '20,writing-novels
485,Will eventually be re-writing my book… should I keep the first draft?,146,123,Nov '20,writing-novels
486,Help Naming a Character,32,108,Nov '20,writing-novels
487,I made a behind the scenes mini comic(?) for promotion!,293,66,Nov '20,writing-novels
488,Second Series for the Museum,5,124,Nov '20,writing-novels
489,How do you choose your character names?,102,330,Nov '20,writing-novels
490,Writing Challenge—Acrostics,2,318,Nov '20,writing-novels
491,Truth and Fiction,135,132,Nov '20,writing-novels
492,Writing Sci-Fi/Fantasy,0,275,Nov '20,writing-novels
493,HALP! 75K words books,110,135,Nov '20,writing-novels
494,What do you do with an “antagonist” who is innocent?,34,182,Nov '20,writing-novels
495,How long do you take a writing break? How long do you finish a sequel?,283,166,Nov '20,writing-novels
496,Does your story have any “problematic” themes?,5,591,Nov '20,writing-novels
497,Introduce your favorite character to me!,78,196,Nov '20,writing-novels
498,Science fiction novel reading circle,21,226,Nov '20,writing-novels
499,What to do when everything you write sucks,251,199,Nov '20,writing-novels
500,Playlists for characters,56,158,Nov '20,writing-novels
501,Post the first three paragraphs of your novels!,448,5.0k,Nov '20,writing-novels
502,Fantasy & Immortals!,0,1.7k,Nov '20,writing-novels
503,Which languages inspire your fantasy names?,78,144,Nov '20,writing-novels
504,Tales Of Tilo- Inspired by ATLA,4,85,Nov '20,writing-novels
505,What do you think is the most unique/interesting thing about your writing?,99,325,Nov '20,writing-novels
506,Writing with your Guts,10,164,Nov '20,writing-novels
507,Rate my Novel cover please,143,91,Nov '20,writing-novels
508,If Your Characters Were Stranded On a Deserted Island,10,199,Nov '20,writing-novels
509,Adding Prologues,100,112,Oct '20,writing-novels
510,Most important element on a fantasy story?,0,221,Oct '20,writing-novels
511,Writing Struggles,71,241,Oct '20,writing-novels
512,I rewrote my entire novel :D,10,144,Oct '20,writing-novels
513,Subtle ways to show character relationship dynamics,146,222,Oct '20,writing-novels
514,Reccomend me historical novels with female lead,9,84,Oct '20,writing-novels
515,"New Year, New Firsts (Link-less Promo)",96,275,Oct '20,writing-novels
516,Share Your Sci-Fi/Fantasy Stories,6,225,Oct '20,writing-novels
517,Where do you break paragraphs with your online stories?,179,84,Oct '20,writing-novels
518,Free novel covers?,1,135,Oct '20,writing-novels
519,How come you can make words bold or cursive here but not on tapas?,88,127,Oct '20,writing-novels
520,What do you think about author notes episodes/chapters and footnotes?,0,133,Oct '20,writing-novels
521,Starting the New year with a Novel! | What’s the longest you’ve stored a novel until it released?,75,80,Oct '20,writing-novels
522,Ever pick an actor for a character you’re writing?,5,175,Oct '20,writing-novels
523,I need help with my book cover,149,106,Oct '20,writing-novels
524,Is it normal to get no subscribers even when posting daily?,8,234,Oct '20,writing-novels
525,Post your novel art and covers. (Self-Promote too because why not?) (only novels too),156,502,Oct '20,writing-novels
526,Does this scene sound repetitive?(Edited the scene),22,127,Oct '20,writing-novels
527,Young men (or older) what is your honest reaction?,283,493,Oct '20,writing-novels
528,Chapter Lengths,18,658,Oct '20,writing-novels
529,I wrote an outline(and why you should too),222,189,Oct '20,writing-novels
530,I revamped my superhero novel with a more fantasy-centric focus! Share yours as well!,15,126,Oct '20,writing-novels
531,Free Honest Reviews (Closed),147,788,Oct '20,writing-novels
532,Story in works!,16,129,Oct '20,writing-novels
533,Read 4 Read Exchange (Open),178,261,Oct '20,writing-novels
534,Share Your Novels (R4R),8,123,Sep '20,writing-novels
535,What do you do when you have doubts?,130,192,Sep '20,writing-novels
536,Newly released Novels,0,325,Sep '20,writing-novels
537,Juggling school and writing,100,729,Sep '20,writing-novels
538,Your Out of Context Excerpts (Promote Your Story),1,2.0k,Sep '20,writing-novels
539,Any BL novel ended around only 1-3 chapters?,100,90,Sep '20,writing-novels
540,Show Me Your Novels,7,6.7k,Sep '20,writing-novels
541,Novelists rise up!,159,3.3k,Sep '20,writing-novels
542,Help me choose what novel series I make next,0,233,Sep '20,writing-novels
543,"Doing a little crowing here, you should too",68,158,Sep '20,writing-novels
544,Promoting my litrpg isekai** novel inspired by Kumo Desu Ga! Promote yours too!,18,102,Sep '20,writing-novels
545,How do you write a ‘casual’ novel?,157,130,Sep '20,writing-novels
546,Pantsers - What Made You Pick Your Writing Style?,30,206,Sep '20,writing-novels
547,Season’s screamings Post your horror stories for holidays!,243,167,Sep '20,writing-novels
548,"Christmas tree down via sword, anyone else have fun story they might use?",13,102,Sep '20,writing-novels
549,Who’s found a good BL novel? (Recommend one here),218,301,Sep '20,writing-novels
550,Advice asked for publishing mature episodes,37,221,Sep '20,writing-novels
551,Do you have an Action Novel?,213,1.2k,Sep '20,writing-novels
552,Writer Beware and ways to stay safe,11,290,Sep '20,writing-novels
553,How many stories have you written?,127,173,Sep '20,writing-novels
554,Enough Character Development?,81,228,Sep '20,writing-novels
555,How to shorten my novel?,428,101,Sep '20,writing-novels
556,3 Resources for Comic Creators and Novelists,29,168,Sep '20,writing-novels
557,I hit 70 subs! Post your novel under 70 subs,534,121,Sep '20,writing-novels
558,How to paste and maintain formatting?,2,117,Sep '20,writing-novels
559,"Sub for a sub, I need 100 subscribers",76,679,Sep '20,writing-novels
560,Need Subscribers,7,1.6k,Sep '20,writing-novels
561,Novel is coming to an end!,122,247,Sep '20,writing-novels
562,Favorite Moment in Your Series,10,244,Sep '20,writing-novels
563,Preferred writing style?,186,241,Sep '20,writing-novels
564,Update on “As Long As I’m With You I’m Fine”: 17/12/2020,7,97,Sep '20,writing-novels
565,Popular topics on tapastic?,127,205,Sep '20,writing-novels
566,"Facebook, Webpage, etc. novels",2,122,Sep '20,writing-novels
567,New Novel? Post your favorite scene for a teaser,84,114,Sep '20,writing-novels
568,Need help with the use of Magic in my story,22,233,Aug '20,writing-novels
569,I will read/comment/like the 1st seven of your episodes if you read/comment/like the 1st 5 of mine (4/6),228,204,Aug '20,writing-novels
570,What do you look for in a Beta Reader,8,114,Aug '20,writing-novels
571,Need help with the blurb of my novel,154,89,Aug '20,writing-novels
572,A small preview of my upcoming novel~,4,110,Aug '20,writing-novels
573,Could you review my novel,110,108,Aug '20,writing-novels
574,Writing something other than BL,13,227,Aug '20,writing-novels
575,I just finished the new cover to my book! Come check it out,372,83,Aug '20,writing-novels
576,What makes a person ‘real’?,0,140,Aug '20,writing-novels
577,Under 10 Subs Club (promote those novels),133,2.1k,Aug '20,writing-novels
578,Weirdest storylines you’ve come across,4,148,Aug '20,writing-novels
579,Nervous to self-published my first book (Tips and advice needed) Asking some questions too,101,118,Aug '20,writing-novels
580,💖 Share your beautiful love stories 💖,4,136,Aug '20,writing-novels
581,Could you review my novel?,140,85,Aug '20,writing-novels
582,[ADVICE] How to effectively and believably sabotage a relationship?,49,132,Aug '20,writing-novels
583,List Psychological Thrillers (this includes comic too!),310,131,Aug '20,writing-novels
584,Share Your New Novel! Hook Me with a One Liner?,30,826,Aug '20,writing-novels
585,Timing for posting second books in a series,203,141,Aug '20,writing-novels
586,Your thoughts on this blurb (7 likes in return),4,151,Aug '20,writing-novels
587,👀 Contemporary fiction writers/readers,93,148,Aug '20,writing-novels
588,‘Hold your favorite characters accountable’,7,309,Aug '20,writing-novels
589,New Novel idea but don’t have a title for it,154,208,Aug '20,writing-novels
590,What could force an antagonist to switch sides?,3,192,Aug '20,writing-novels
591,Free cover art for upcoming and small novels,184,363,Aug '20,writing-novels
592,Closed and ty everyone for sharing their work,13,250,Aug '20,writing-novels
593,What is a good word cap for each chapter?,155,116,Aug '20,writing-novels
594,I can make book covers for Novelists.(Non paid)(Non-Anime)(0/3),39,99,Aug '20,writing-novels
595,"Should I post the novel version, when I already have the comic published?",411,133,Aug '20,writing-novels
596,Will They or Won’t They Couples,12,260,Aug '20,writing-novels
597,What quotes inspire your writing?,212,121,Aug '20,writing-novels
598,I am in a complete slump!,35,313,Aug '20,writing-novels
599,"For people with under 20 subs, share your novel here",343,7.3k,Aug '20,writing-novels
600,Share our novels with each other! :D,10,6.4k,Aug '20,writing-novels
601,"If there are two books in your series, is it better to keep them on the same series or separate them?",222,309,Aug '20,writing-novels
602,Promote your novel here. Also please read/support my novel,15,215,Aug '20,writing-novels
603,My novel got featured on the front page! Share your novels here~,185,291,Aug '20,writing-novels
604,Let’s share new novels by new novelists!,5,399,Aug '20,writing-novels
605,What Do You Like Most About Writing?,79,319,Jul '20,writing-novels
606,Feedbacks on my novel,1,114,Jul '20,writing-novels
607,Keyboard Preference?,89,138,Jul '20,writing-novels
608,How many images can you use for a novel?,17,107,Jul '20,writing-novels
609,"If you were a creative writing teacher, how would you structure your class?",198,111,Jul '20,writing-novels
610,Scheduled Uploading/Long Chapters,16,171,Jul '20,writing-novels
611,Promote your Novel (under 10 episodes.),1.4k,3.0k,Jul '20,writing-novels
612,"Pantser writers, Any new inspirations that lead to things falling in place?",6,167,Jul '20,writing-novels
613,[NEW EP OUT!] The Circle of Light and Darkness finally posted,145,118,Jul '20,writing-novels
614,Hello everyone! Brand new Tapas writer here!,16,236,Jul '20,writing-novels
615,"Writers, what influence your writing style?",191,456,Jul '20,writing-novels
616,"What cool Magic, Power, or Energy systems have you made for your story?",4,229,Jul '20,writing-novels
617,Handling Time Skips,142,258,Jul '20,writing-novels
618,Promote your novel here! Check out mine if you’re interested,2,223,Jul '20,writing-novels
619,Plotting vs. Pantsing,99,680,Jul '20,writing-novels
620,"New authors, Promote your novel here",96,299,Jul '20,writing-novels
621,Promoting new novels! Check out mine if interested,981,115,Jul '20,writing-novels
622,Romance/ Fantasy Novel Sharing,5,4.8k,Jul '20,writing-novels
623,Title Poll for a Novel,85,168,Jul '20,writing-novels
624,I had got four new subcribers!,7,125,Jul '20,writing-novels
625,Mediums for Dialogue-Driven Stories–Can Novels Be One of Them?,96,154,Jul '20,writing-novels
626,Whats Your Favorite Genre to Read vs Write?,51,261,Jul '20,writing-novels
627,"Sub for a Sub, I want your Novel to grow!",338,676,Jul '20,writing-novels
628,Help me reach 100 subs!,4,160,Jul '20,writing-novels
629,Where are the Organic Writers?,105,487,Jul '20,writing-novels
630,Have you ever thought of turning your novel into a comic?,8,413,Jul '20,writing-novels
631,Support my novel please,138,111,Jul '20,writing-novels
632,My New Novel I Would Love Some Feedback,10,134,Jul '20,writing-novels
633,Any tips I can use to improve my description/summary?,130,144,Jul '20,writing-novels
634,Post about/promote your COMING SOON or WIP novels,4,313,Jul '20,writing-novels
635,Newbie/ Novel Sharing,84,984,Jul '20,writing-novels
636,I’ve been her for about a month and not a single sub help (place to post novels under 100 subs),1,564,Jul '20,writing-novels
637,"Self promotion my novel, you can promote yours too",89,650,Jul '20,writing-novels
638,"Shameless Promotions, 10 subs or under. Novels Only",8,551,Jul '20,writing-novels
639,Overarching conflict/end goal for fantasy story?,120,196,Jul '20,writing-novels
640,Fresh BL Novel Here (Less than 20 SUBS),3,101,Jul '20,writing-novels
641,My New Novel “Revenge”,95,84,Jul '20,writing-novels
642,"Hey! If you’re looking for a cute and funny boyxboy story with friendship as an important theme, you could try reading this",21,97,Jul '20,writing-novels
643,Promote your novels here!,235,366,Jul '20,writing-novels
644,Can we post short stories?,5,184,Jul '20,writing-novels
645,Hannah’s almost fully posted!,108,172,Jul '20,writing-novels
646,I´m looking for LGBT writers,5,346,Jul '20,writing-novels
647,Plans for NanoWriMo 2020,126,190,Jul '20,writing-novels
648,"New Novels, post them here! (Sub for a Sub)",10,594,Jul '20,writing-novels
649,Welp! Here it is,147,116,Jul '20,writing-novels
650,Novels that use soundcloud?,20,291,Jul '20,writing-novels
651,"Who do you write like? 👀 (Fun promotion thread, come one, come all! 😎)",161,2.0k,Jun '20,writing-novels
652,"Guys, please check out my first ever book, ‘Alacrimia’. Please!",27,140,Jun '20,writing-novels
653,I think I’ll have to take a break for a while,338,269,Jun '20,writing-novels
654,Can’t find a novel! (BL and Werewolves),7,180,Jun '20,writing-novels
655,Ilustraciones en novels?,165,135,Jun '20,writing-novels
656,I reached 100+ subscribers! Time to give back <3,8,137,Jun '20,writing-novels
657,How many Wattpad refugees?,187,4.5k,Jun '20,writing-novels
658,Simon’s Lyrics and Poetry,10,93,Jun '20,writing-novels
659,How many novel writers have narrated their stories in the present tense?,210,521,Jun '20,writing-novels
660,Give Me Something to Read,22,282,Jun '20,writing-novels
661,How do you start a novel?,170,252,Jun '20,writing-novels
662,Let’s get to 50 Subs!,5,3.3k,Jun '20,writing-novels
663,Narrative vs Dialogue which is better?,130,396,Jun '20,writing-novels
664,"Hey jerks, let’s talk about our Novels!",12,5.0k,Jun '20,writing-novels
665,Free Cover Art for a novel!,153,192,Jun '20,writing-novels
666,Brag About Your Novel (all can self-promote),26,2.2k,Jun '20,writing-novels
667,Calling Isekai lovers!,231,329,Jun '20,writing-novels
668,"New Here, looking for novels!",12,665,Jun '20,writing-novels
669,Fantasy Novel Promotions!,128,737,Jun '20,writing-novels
670,Offering Free Cover Art for the first three people (closed),6,226,Jun '20,writing-novels
671,Promote Your Novel in a Fun Way,70,584,Jun '20,writing-novels
672,Does anyone use illustrations in their novels?,2,346,Jun '20,writing-novels
673,Looking for advice on what genres to choose for my novel,83,174,Jun '20,writing-novels
674,Don’t click on this.,12,253,May '20,writing-novels
675,Help! What am I doing wrong,181,180,May '20,writing-novels
676,Tapas Vs Webnovel: Share your experience and opinions,0,910,May '20,writing-novels
677,New to Tapas - LF Stories and Readers!,71,284,May '20,writing-novels
678,Before: come read a unique novel,2,301,May '20,writing-novels
679,Do you promote your novel on social media?,63,438,May '20,writing-novels
680,New to Tapas! About Novels: How many words should I write in each chapter?,5,205,May '20,writing-novels
681,(OPEN AGAIN AS OF 10/3!) I will read/comment/like the 1st 5 of your chapters if you read/like/comment the 1st 3 of mine! (6/6),140,627,May '20,writing-novels
682,Tell us about your story’s gong/seme/top (BL novels),25,174,May '20,writing-novels
683,Word count of your chapter(Chapter length),206,191,May '20,writing-novels
684,Constructive Criticism Wanted,15,391,May '20,writing-novels
685,"Review for a review, I want feedback",112,139,May '20,writing-novels
686,What kind of original creatures are in your story?,39,287,May '20,writing-novels
687,Items that are Lucky…- Brainstorming Help,340,142,May '20,writing-novels
688,"Excuse me, sir? Madam?",34,238,May '20,writing-novels
689,Do not click on this post under no circumstances!,272,178,May '20,writing-novels
690,Feedback/ New Novel,13,130,May '20,writing-novels
691,A Beginner’s Self Promotion,184,639,May '20,writing-novels
692,Let’s do a read for read,3,228,Apr '20,writing-novels
693,Are there any events on Tapas for new novel writers?,120,186,Apr '20,writing-novels
694,Almost 900 views this month! Thank you very much!,1,159,Apr '20,writing-novels
695,Introduce Your Villains!,71,303,Apr '20,writing-novels
696,How to get subs for novels quickly?,7,197,Apr '20,writing-novels
697,Historical BL Novels. Drop yours or your favorite ones. (You may self-promote),119,258,Apr '20,writing-novels
698,Demon possessed salon chair anyone? PLEASE SUBSCRIBE!,12,121,Apr '20,writing-novels
699,Pitch Wars. Anyone else pitching? Feedback on query please,168,180,Apr '20,writing-novels
700,Novels on social media,14,306,Mar '20,writing-novels
701,I have just started writing this novel!,200,107,Mar '20,writing-novels
702,Cross reading (Let’s support each other) [closed],4,189,Mar '20,writing-novels
703,Before: Like NOTHING you’ve ever read,118,106,Mar '20,writing-novels
704,Longer chapters vs. shorter chapters,2,301,Mar '20,writing-novels
705,"It is Thursday. All new novels episodes that be released every Thursday, can be posted her",84,3.5k,Mar '20,writing-novels
706,How many Authors here illustrate their stories?,0,349,Mar '20,writing-novels
707,Celebrating 100+ subscribers! Please promote your novel!,85,668,Mar '20,writing-novels
708,Which novel cover should I use. (feel free to self promote),16,348,Mar '20,writing-novels
709,"Scifi/action/fantasy: Self promotion my novel: Vyndra Stories, you can promote your too",216,347,Mar '20,writing-novels
710,Today I reached 100 subscribers-I want to return that love to the community (self-promote your work),8,1.6k,Feb '20,writing-novels
711,Please Share Your Tipping Enabled Novels!,107,159,Feb '20,writing-novels
712,Changing cover art/thumbnails?,5,291,Feb '20,writing-novels
713,Scene Association Game,139,254,Feb '20,writing-novels
714,The Horror! A New Book Cover + Halloween Discussion,113,235,Feb '20,writing-novels
715,Read it and Paint! [Novel Edition],2.9k,170,Feb '20,writing-novels
716,Need help: A dialogue within a dialogue (Novels),6,141,Feb '20,writing-novels
717,"Novelists, want to be buddies on Nanowrimo?",130,107,Jan '20,writing-novels
718,Need to read spooky works [Closed],44,218,Jan '20,writing-novels
719,Tome 1 complete,369,98,Jan '20,writing-novels
720,Fantasy Romance Promotions,15,216,Jan '20,writing-novels
721,Stuck to 50 subs… Help me get to 75! (Promote yours too!),174,403,Jan '20,writing-novels
722,What are you procrastinating on writing right now?,6,734,Jan '20,writing-novels
723,Reached my 50 sub goal (Promote your Novel too),458,858,Jan '20,writing-novels
724,The World in a silvertongue’s tale(Worldbuilding),79,82,Dec '19,writing-novels
725,Is this ‘editor from another platform’ legit?,1.1k,126,Dec '19,writing-novels
726,Switching from premium to regular,14,128,Dec '19,writing-novels
727,A Change in Perspective,285,405,Dec '19,writing-novels
728,Drama Lovers! (promotion thread for drama–main genre required),6,392,Dec '19,writing-novels
729,Showcase your MC,229,477,Nov '19,writing-novels
730,Showcase your side characters! (Share your work),12,224,Nov '19,writing-novels
731,Action Novel Promotions,166,688,Nov '19,writing-novels
732,My novel hit #1 Trending in Action Genre; Come and tell me about your accomplishments!,38,489,Nov '19,writing-novels
733,Ways to improve your writing,853,295,Nov '19,writing-novels
734,Just made it to 20 subs! thanks everyone!,2,256,Nov '19,writing-novels
735,Novelists who write their story as they go along - how the heck do you do it?,103,415,Nov '19,writing-novels
736,Stuck at 16 Subs and trying to get to 25. Feel free to share your stories and your experiences with writing and being on this platform,24,662,Nov '19,writing-novels
737,Where else do you post your novels?,208,316,Nov '19,writing-novels
738,How to write a strong second Arc?,0,174,Nov '19,writing-novels
739,Post your “You messed with the wrong person” scene and I will subscribe(Sub for a Sub),86,384,Oct '19,writing-novels
740,Uploading My New Fantasy Novel Cover. Share your cover too,57,435,Oct '19,writing-novels
741,Impromtu random story collaboration!,981,219,Oct '19,writing-novels
742,Fancy a bit of fun?,17,157,Oct '19,writing-novels
743,The God Of Creation,232,195,Oct '19,writing-novels
744,Preferable Novel Word Count Per Episode?,11,381,Oct '19,writing-novels
745,"I just updated the old intro to my book “The Connections”, upload your introductions or first chapter and will sub if you will sub",268,103,Oct '19,writing-novels
746,Noob starting to freak at the prospect of posting debut novel here!,2,237,Oct '19,writing-novels
747,I noticed some typos in some chapters posted a while ago,95,235,Oct '19,writing-novels
748,Does this breach anything,5,285,Oct '19,writing-novels
749,The Big Thread On How To Succeed: Novels Edition,127,1.3k,Oct '19,writing-novels
750,2000 Views Celebration. Promotion Welcome!,4,329,Oct '19,writing-novels
751,40 subs and back to school celebration,99,290,Oct '19,writing-novels
752,New Novel Coming along (Antei Haku) and one completeed(The Peach-Toned Room),7,103,Oct '19,writing-novels
753,Novel Writing Tips/Advice/How Writers write,152,2.2k,Oct '19,writing-novels
754,First two chapter Comment for comment critiques,0,178,Oct '19,writing-novels
755,Landed a publishing deal - kinda nervous,108,385,Oct '19,writing-novels
756,Okay - I need your opinion,8,280,Oct '19,writing-novels
757,What song describes the way your MC feels about their love interest?,181,431,Oct '19,writing-novels
758,Novel Scavenger Hunt,2,277,Oct '19,writing-novels
759,Discoverability Thread | Fantasy,76,792,Oct '19,writing-novels
760,How do you prefer novels to be formatted when you read them?,5,248,Sep '19,writing-novels
761,Songs for Your Chapters: Opinions? Tactics?,99,221,Sep '19,writing-novels
762,How do you balance family life with writing your novel?,28,198,Sep '19,writing-novels
763,What is the main theme of your novel?,297,596,Sep '19,writing-novels
764,Does word count matter?,6,466,Sep '19,writing-novels
765,How Do You Put M rating on a separate chapter?,128,142,Sep '19,writing-novels
766,Kidnapped by Fairies,11,184,Sep '19,writing-novels
767,Post the first line of dialogue and the latest line from your main character!,137,792,Sep '19,writing-novels
768,"Do mature novels get featured as a Daily Snack or Staff Pick, too?",6,383,Sep '19,writing-novels
769,Novelists: The Action genre is now available!,146,1.1k,Sep '19,writing-novels
770,Do you put little notes at the end of a chapter for readers,26,491,Sep '19,writing-novels
771,Post the 11th line of your 99th (or ninth) page,440,353,Sep '19,writing-novels
772,Sounds Through Words (Self Promo),67,417,Aug '19,writing-novels
773,Best time to post updates?,414,274,Aug '19,writing-novels
774,Describe your novel with a SONG,18,618,Aug '19,writing-novels
775,Trending within 2 weeks! You all are the best!,137,565,Aug '19,writing-novels
776,Describe your main character in one quote,16,6.5k,Aug '19,writing-novels
777,When did you get featured?,164,585,Aug '19,writing-novels
778,Quality of writing or Quantity of chapters?,24,372,Aug '19,writing-novels
779,Writing a novel that will be a comic looking for thoughts or reviews,239,158,Aug '19,writing-novels
780,Novels For Adults,8,1.2k,Aug '19,writing-novels
781,"Books that you thought would be boring, but pleased you",182,361,Aug '19,writing-novels
782,Importance of Art in a Novel,6,417,Aug '19,writing-novels
783,Post a part of your novel that you are proud of and I will subscribe,105,553,Aug '19,writing-novels
784,Just updated my novel. I’ve also reached 40 subs and 500 views! What do you think? Tell me about your achievements!,57,360,Aug '19,writing-novels
785,Share your favorite descriptions!,330,373,Jul '19,writing-novels
786,Promote your hidden gems here! (read rules before posting),8,940,Jul '19,writing-novels
787,Writers with Writer’s Block Assemble!,97,718,Jul '19,writing-novels
788,Is this blurb okay?,9,213,Jul '19,writing-novels
789,I need some help with my novel,183,194,Jul '19,writing-novels
790,A new cover for my novel. What do you think?,16,461,Jul '19,writing-novels
791,A “Thank You” for your inspiration,171,131,Jul '19,writing-novels
792,What’s your story’s structure and your favorite literary devices?,13,348,Jul '19,writing-novels
793,How much time have you spent planning your series?,117,606,Jul '19,writing-novels
794,My series’ cover has an ‘UP’ icon on it,10,153,Jul '19,writing-novels
795,Under 50 Subs? Lets change that together!,158,2.0k,Jul '19,writing-novels
796,"New to Tapas, trying to figure things out",4,177,Jul '19,writing-novels
797,Looking for someone to help with ideas and clarify my plot lines,111,121,Jun '19,writing-novels
798,The Four Corners of a Protagonist: Writing Game,14,289,Jun '19,writing-novels
799,Please Review My Novel work,216,144,Jun '19,writing-novels
800,BL - Potential problems with run-on sentences,28,217,Jun '19,writing-novels
801,I need insight for my series,288,240,Jun '19,writing-novels
802,"Writing my first novel, looking for comments and suggestions",15,134,Jun '19,writing-novels
803,Volunteer Narrator here,797,199,Jun '19,writing-novels
804,Post a funny moment in your novel and I will subscribe,8,351,Jun '19,writing-novels
805,Superhero novels?,142,178,Jun '19,writing-novels
806,Do you get paid by writing novels?,7,310,Jun '19,writing-novels
807,Tapas apps alternative for novels,147,812,Jun '19,writing-novels
808,Book Sharing Methods,27,192,Jun '19,writing-novels
809,I just hit 500 views! (totally worth celebrating) share your novels,215,2.0k,Jun '19,writing-novels
810,"New to Tapastic, novel writer",15,245,Jun '19,writing-novels
811,Novel reading speed,362,223,Jun '19,writing-novels
812,The Main theme of your novel,15,1.1k,Jun '19,writing-novels
813,Share Your Story! A Celebration for Completed Novels!,291,143,Jun '19,writing-novels
814,Title question: Story idea :D,29,132,Jun '19,writing-novels
815,Just hit One Thousand Views! Promote Your Novels,203,789,May '19,writing-novels
816,Challenge! (pretty much a cool way to promote your novel),28,318,May '19,writing-novels
817,Fluff and Filler,224,495,May '19,writing-novels
818,How long does it take you to finish writing a chapter?,13,520,May '19,writing-novels
819,What kind of role would you play in a novel?,126,520,May '19,writing-novels
820,Writing prompts and exercises,11,129,May '19,writing-novels
821,New Mature Novel Writer,252,189,May '19,writing-novels
822,Looking for Some Critiques on a Rewrite/Revision,2,190,May '19,writing-novels
