,titles,replies,views,activity,category
676,Let’s reach 2nd milestone together!,36,185,Mar 24,promotions
677,SUB 4 SUB? Help Me Reach My Second Milestone!,190,150,Mar 23,promotions
678,"40 Chapters & Up, Post Your Novel/Comics Here and Let’s Do Sub for Sub",61,113,Mar 23,promotions
679,Describe Your Comic/Novel with a Song!,429,508,Mar 23,promotions
680,Looking for shorter Historical Romance Novels or Webtoon,4,152,Mar 23,promotions
681,"If you have one, share here the thing that cant let you work so much",48,177,Mar 23,promotions
682,Boom! Your character is now an a streamer/video creator,4,229,Mar 22,promotions
683,Need replies and comments and of course subscribers,77,95,Mar 22,promotions
684,Comics dos Brasileiros,0,131,Mar 21,promotions
685,"Need likes, comments, subs, or even someone to read your novel/comic? Let’s all share our stories here!",43,1.2k,Mar 21,promotions
686,Promotions and Discussions,2,185,Mar 20,promotions
687,Looking for Short Vampire Romance Rec’s,84,80,Mar 20,promotions
688,Post Your Latest Page - April 2021,3,1.6k,Mar 20,promotions
689,I git the 25! Time for mass promotions!,110,138,Mar 20,promotions
690,9 subs away from 50!,6,110,Mar 20,promotions
691,More character questions + promotions!,54,135,Mar 19,promotions
692,Talismans/Physical objects that keep you accountable for your Comic/Novel,15,137,Mar 19,promotions
693,Publish your webtoon / novel here! only BL,124,539,Mar 18,promotions
694,Share your SHORT STORY comics!,6,163,Mar 18,promotions
695,Show your interspecies couples,103,192,Mar 18,promotions
696,Who are you in the novel? Take the characters’ test!,1,133,Mar 18,promotions
697,Tell Me What Your MC Likes & Dislikes!,60,366,Mar 18,promotions
698,Sub4sub if not dont come,7,228,Mar 18,promotions
699,Almost to 25 - Sub/Sub with reading and comments?,113,123,Mar 18,promotions
700,Help me reach 25 followers. (Just 6 Followers left ). )),20,88,Mar 17,promotions
701,Post your Headcanon song for your secondary character!,226,180,Mar 17,promotions
702,Introducing and welcoming,70,2.6k,Mar 17,promotions
703,Share comics where human and nonhuman characters do stuff together,450,217,Mar 16,promotions
704,"Subscribe for subscribe, Comic / novel",19,258,Mar 16,promotions
705,Having A Hard Time Getting Subs? Want Another Reason To Promote? Here You Go,240,412,Mar 16,promotions
706,Humorous Inspiration +promo,19,176,Mar 16,promotions
707,WEBCOMIC SHARE (Let’s support each other!) both Tapas and Webtoon,158,1.8k,Mar 16,promotions
708,Working on the New Chapter for my Comic,3,75,Mar 15,promotions
709,Looking for the readers who like thriller series,70,45,Mar 15,promotions
710,Your Characters favorite comics,3,212,Mar 15,promotions
711,"Promote your story, and I’ll check it out!",77,789,Mar 15,promotions
712,[PT-BR] Os Nobres,16,94,Mar 15,promotions
713,Important oc questions with Becca+promotions!,113,109,Mar 15,promotions
714,How do your Villain Boss’s die? (Promote your comics/ novels!),21,84,Mar 14,promotions
715,"Update new episode THANK YOU, LOVE YOU",151,123,Mar 14,promotions
716,Tell us your average character age! (And post your links!),3,327,Mar 13,promotions
717,Joke about how hard promotion is! (and promote!),66,584,Mar 13,promotions
718,The message of YOUR story,0,360,Mar 12,promotions
719,I reached 25 Subscribers! Promote your comics/novels!,60,282,Mar 12,promotions
720,Post your Superhero/Supervillain stories HERE! (Comic/Novels Welcome),13,49,Mar 12,promotions
721,Promote Your Novels/Comics (And Get Help With Engagement),103,804,Mar 12,promotions
722,Promote Your Protagonist By Showing Their Pics From Your Comic,1,740,Mar 11,promotions
723,Character Development and ~Promo~,46,255,Mar 11,promotions
724,Abismos: you or your character cameo for free,46,109,Mar 11,promotions
725,Promote BUT! Three words only,372,1.1k,Mar 11,promotions
726,Hello guys I ned 100 Sub!,451,145,Mar 11,promotions
727,New Platform for Learning Languages from Webcomics (can we use yours?),12.1k,66,Mar 11,promotions
728,A Small Milestone Celebration,14,299,Mar 11,promotions
729,Only four away from the first milestone! (technical promotion?),156,63,Mar 11,promotions
730,Important question. for both you and your mcs-oreo edition +promotions!,46,93,Mar 9,promotions
731,Sub for Sub ~ 0 SUBS UNTIL 100!,3.6k,260,Mar 9,promotions
732,Drop your trailer and promote your work,51,246,Mar 9,promotions
733,Promotion Time~,339,422,Mar 9,promotions
734,Celebrating a milestone! Tell me about yours :D,2,1.9k,Mar 8,promotions
735,Artist Support For Instagram (With A Catch),98,114,Mar 8,promotions
736,Trying to get 100 subs…Pls help : (,13,130,Mar 8,promotions
737,100 Subs BABY! Let’s go!,110,102,Mar 8,promotions
738,69 subs - Please free me from the horny number | DONE!,16,217,Mar 7,promotions
739,Polish comibook/webcomic artists,137,49,Mar 7,promotions
740,Sub for Sub ~ 24 subs until 100!,12,46,Mar 7,promotions
741,Webtoons and Tapas creator’s! sub for subs,87,111,Mar 7,promotions
742,Just self-promoting my Novel on tapas for those interested in checking it out,21,93,Mar 6,promotions
743,I’m a new creator nice to meet you lot!,242,185,Mar 6,promotions
744,Feedback and criticisms (self promotion maybe?),60,226,Mar 6,promotions
745,What do your artists do…?,827,121,Mar 6,promotions
746,May 2021 comic cross promo (2/3),28,121,Mar 6,promotions
747,Let me promote you with a cameo/ shout out in my comic! CLOSED,246,191,Mar 6,promotions
748,New Novel…Please take a look,15,100,Mar 5,promotions
749,Plz look at my novel,196,67,Mar 5,promotions
750,Deleted post (closed),15,252,Mar 5,promotions
751,Shameless Self Promotion (Novel),189,75,Mar 5,promotions
752,Share your Ko-fi and comic,14,281,Mar 4,promotions
753,Show me your INK banners!(And get some ink),129,155,Mar 4,promotions
754,A new comic to check out : Bouzouki & Tortilla – A Fishy Story,208,48,Mar 4,promotions
755,Promote someone ELSE’S comic/novel,2.1k,447,Mar 3,promotions
756,Heyo! New comic artist looking for feedback and friendos,30,197,Mar 3,promotions
757,A fresh Read for Read… with a system :D,182,544,Mar 3,promotions
758,BL FANTASY NOVEL ! feel free to post your novel/comic thread,26,250,Mar 3,promotions
759,Let’s promote among ourselves!,189,481,Mar 3,promotions
760,The Wheel of Subs,11,183,Mar 3,promotions
761,Friendliest Friendships!,134,115,Mar 2,promotions
762,Show me your favorite piece of artwork from your comic!,1,251,Mar 2,promotions
763,| Bonded | Tapas | tapas.io,57,74,Mar 2,promotions
764,Post a scene from your comic or novel where a character surpasses their limits!,10,151,Mar 2,promotions
765,Art showcase and Promotions let’s go!,172,160,Mar 1,promotions
766,Completed a special offer and didn’t get my reward,3,70,Mar 1,promotions
767,Promote Your Novel/Comic with Emojis! NO LINKS,82,378,Mar 1,promotions
768,Post post post !along with your character’s fetish,1,96,Mar 1,promotions
769,Physical Comic Available For Preorder!,49,92,Mar 1,promotions
770,Sub for sub - World of Crave exposed!,0,159,Mar 1,promotions
771,Hi I’m back and with a new comic “Bullet Ridden Angel”,57,124,Mar 1,promotions
772,Asking questions to OCs!,6,64,Feb 28,promotions
773,Sub for sub! I Am Meme!,85,194,Feb 28,promotions
774,Any social account! Share it and let’s grow together,66,467,Feb 28,promotions
775,Looking for artist for hire FOR PAY,3.7k,74,Feb 28,promotions
776,My 1st upload on Tapas!,1,156,Feb 28,promotions
777,First Story in Tapas,47,107,Feb 27,promotions
778,A different kind of read for read,0,150,Feb 27,promotions
779,Pick an MC and I’ll tell you which of my characters they’d click with!,42,185,Feb 26,promotions
780,"My comic, “Ryoshi” has been updated, and I’d love to see yours as well",20,91,Feb 26,promotions
781,The promise-REVEALED,257,80,Feb 26,promotions
782,NEW CHAPTER IS OUT! - “The Sleeping Dragon.”,92,73,Feb 25,promotions
783,"Comics Over and Under 100 (100+ episodes, <100 subs)",1.1k,58,Feb 25,promotions
784,Read/Like/Comment for Like/Comment + Critique (4/4),0,347,Feb 25,promotions
785,Boyfriend( new episode)…,60,69,Feb 25,promotions
786,Post your new novel here,20,101,Feb 25,promotions
787,Your characters as food or drinks! (+promo),180,370,Feb 25,promotions
788,Sub for sub - World of Crave exposed,61,261,Feb 25,promotions
789,"New manga posted! (Share your new comic/novel) Check out my new series. I’ll read your new series, maybe even sub, and give positive comments",345,219,Feb 24,promotions
790,"Reading these novels brings success, wealth, love and happiness",1,71,Feb 24,promotions
791,Tell me what about your world makes the reader think about it’s possibilities?,41,66,Feb 24,promotions
792,Your mustache twirling characters (also cameo?),6,89,Feb 24,promotions
793,Please help! I want to reach my milestone!,87,96,Feb 23,promotions
794,Back from hiatus!,9,130,Feb 23,promotions
795,Share an intense action scene from your novel!,126,111,Feb 22,promotions
796,Wants to know my fellows Bl creator(with actually manly characters pls),4,256,Feb 22,promotions
797,National Superhero Day Promotion Thread,142,162,Feb 22,promotions
798,Your character’s ideal Date,4,218,Feb 22,promotions
799,Share your height difference couples here! (comics/novels),83,309,Feb 22,promotions
800,Mature Theme Promotions (Link your mature comic with tags),4,247,Feb 22,promotions
801,Cross Promotion for webtoon comic,76,72,Feb 20,promotions
802,What makes your main character different from others? (Novels/Comics),20,317,Feb 20,promotions
803,Let’s promote some others!,157,118,Feb 20,promotions
804,Fez & Blood Chapter 4,110,57,Feb 20,promotions
805,Https://m.tapas.io/episode/2140971,731,69,Feb 19,promotions
806,New creators here,217,311,Feb 19,promotions
807,Asian Creators/ Authors Promote Your Work Here~!,1.3k,439,Feb 18,promotions
808,Show Your TAPAS COMIC/NOVEL Landing Page,2,763,Feb 18,promotions
809,Lemony and Other Short Stories | Tapas tapas.io,58,57,Feb 18,promotions
810,Post a humourous scene from your novel!,0,102,Feb 17,promotions
811,Share your novel covers and describe what’s happening in the image!,46,298,Feb 17,promotions
812,I’m New! Promo Thing Here!,90,386,Feb 16,promotions
813,Share Stories with Ghosts! 👻,392,207,Feb 16,promotions
814,Your Character’s Tinder Profile [Promotion Game],2,524,Feb 16,promotions
815,I’m making a comic when I hope you enjoy your time making,74,57,Feb 15,promotions
816,Promote with the most funniest sentence,50,129,Feb 15,promotions
817,Post your comic + tell us about your cover,276,297,Feb 15,promotions
818,Promoting each others comics on our comics,12,58,Feb 15,promotions
819,Can someone check my comic?,123,73,Feb 14,promotions
820,Birthday Party Post,4,67,Feb 14,promotions
821,I just made a short little YouTube tutorial on a speedy lineart colouring trick I use!,141,85,Feb 14,promotions
822,Post your novels under 50 subs,42,524,Feb 13,promotions
823,Website for my series,307,99,Feb 13,promotions
824,Do you have any meta media for your novel or comic? Share!,18,55,Feb 13,promotions
825,Post a snippet from your novel of a suddenly tense scene!,215,182,Feb 13,promotions
826,Share your work (comic/novel) - Sub for sub!,8,228,Feb 13,promotions
827,I’ll draw your OC for Engagement ᕕ( ᐛ )ᕗ,94,551,Feb 13,promotions
828,We have 120 subs on Webtoon!(+Gokce’s Recommendations–Closed for new series),12,595,Feb 13,promotions
829,Hello guys sub 4 sub lets go 1000 sub!,186,152,Feb 12,promotions
830,I have a Twitter,23,79,Feb 12,promotions
831,New Comic! Let me know what you think,282,92,Feb 11,promotions
832,Hi guys sub for sub my new serie Isekai?,47,176,Feb 11,promotions
833,I’m three subs away from 25! Help me get there!,438,94,Feb 11,promotions
834,Age check + drop your link,19,915,Feb 11,promotions
835,“World of crave” new comics,150,46,Feb 11,promotions
836,Promote Fantasy and Adventure Comics!,7,388,Feb 10,promotions
837,Manga(+manga inspired) promo thread,113,208,Feb 10,promotions
838,Promotion for novels!,3,393,Feb 10,promotions
839,Thank you all for 25 subs! Promote your work here!,49,227,Feb 10,promotions
840,Just something to do,13,110,Feb 9,promotions
841,Series Promotions: Both Comics and Novels,203,318,Feb 9,promotions
842,Looking for new novels/comics to read!,1,541,Feb 9,promotions
843,New Creator! Comic Artist Looking For Viewers,70,89,Feb 9,promotions
844,Could you help me reach 25 subs? feel free to share your own work down below,8,263,Feb 9,promotions
845,Promotion Thread! I promise I’ll at least look,89,334,Feb 9,promotions
846,Novels for Autism Awareness,16,202,Feb 9,promotions
847,Promote your comic! (Back to work edition),154,350,Feb 9,promotions
848,If you’re 25 or older show me your work!,10,12.7k,Feb 9,promotions
849,Ink Giveaway Promotion,102,142,Feb 9,promotions
850,Share a Sneak-Peek of your Next Page– and Promote Your Work!,8,81,Feb 8,promotions
851,"Calling out all new works, let’s post to help eachother!",94,140,Feb 8,promotions
852,Promote your novel/comics under 25 subs,70,623,Feb 7,promotions
853,I Composed a Theme for my Novel,333,67,Feb 7,promotions
854,Share your novel under 100 subs! (Sub for Sub),59,159,Feb 7,promotions
855,“World of crave” my new comics,282,37,Feb 7,promotions
856,Another promote post. Share your comics/novels!,3,394,Feb 7,promotions
857,Cats or Dogs? Also; CAT COMICS!,84,1.9k,Feb 7,promotions
858,Post your latest Instagram post and promote,15,299,Feb 6,promotions
859,Post your Instagram or Social Media,149,5.1k,Feb 6,promotions
860,༼ つ ◕_◕ ༽つ I’ll draw your OC in a Pixelated Style! ༼ つ ◕_◕ ༽つ,8,384,Feb 6,promotions
861,2019 comic Badass about a karen and hell,103,60,Feb 6,promotions
862,New Creator! Nice to meet you!,15,111,Feb 5,promotions
863,Howdy! New creator here - Nice to meet everyone!,145,111,Feb 4,promotions
864,“World of crave” comics,20,101,Feb 4,promotions
865,Hi there! New creator here!,168,77,Feb 3,promotions
866,Nightmares of an Invertebrate (from a new creator guy) (long time coming),12,47,Feb 3,promotions
867,Plz halp me get 25,128,198,Feb 3,promotions
868,Promote your merchandise sites,15,151,Feb 2,promotions
869,Looking for Tapas Friends (and active new comics),163,138,Feb 2,promotions
870,Action fantasy novels/comic promtion thread,23,211,Feb 1,promotions
871,All Hail the Empress! I Will Be Promoting My Novel!,183,216,Feb 1,promotions
872,This old lady would love some help!,22,174,Feb 1,promotions
873,Road to 100 subs - 36 to go!,197,60,Feb 1,promotions
874,"Meme Milestone Celebration n Promotion, 69 SUBS you guys XD Share your memes, comics and novels",12,175,Jan 31,promotions
875,Feel free to use this to promote your novels and comics,134,471,Jan 31,promotions
876,Promotion And Other Stuff,7,335,Jan 31,promotions
877,Promote your comics and stuff here,105,413,Jan 31,promotions
878,Under 1k Subs Promote your comic! Looking for hidden gems to read!,27,770,Jan 29,promotions
879,Promote your Comic Game: Give me a random number,177,208,Jan 29,promotions
880,Dont give up! Let’s keep promoting!,13,512,Jan 27,promotions
881,I’d like to sketch your characters!,120,223,Jan 26,promotions
882,Action Lovers (Comics/Novels),10,138,Jan 26,promotions
883,Promote your novels and comics and find new ones,89,458,Jan 25,promotions
884,Promote your novel/comic hereeeeee!,0,622,Jan 25,promotions
885,Promote your comic with the episode you think has the best art!,42,730,Jan 25,promotions
886,Post all the social where you post your comics!,3,147,Jan 25,promotions
887,"Hello all, plz read and say thoughts about my webtoon title : crash crush 😊😊",105,61,Jan 24,promotions
888,The 100-200 sub comic/novel share,18,195,Jan 23,promotions
889,"Post-apo comics and novels, show yourself!",113,92,Jan 23,promotions
890,Creators below 25 subs! GATHER HERE!,181,495,Jan 22,promotions
891,Promotion Tours - Sign up Here!,1.3k,941,Jan 21,promotions
892,"April 15th, National ASL Day (US)",9,68,Jan 21,promotions
893,Karen goes to hell mini comic,161,75,Jan 20,promotions
894,Just another thread for LGBT works!,33,198,Jan 20,promotions
895,Promo for my Birthday! (Promo your stuff like mine),207,53,Jan 19,promotions
896,Up Your Social Media Engagement!,18,267,Jan 19,promotions
897,New Novel: One…Two…Three,131,83,Jan 18,promotions
898,Well why not do this myself?(also invite you to promote your novels),21,1.6k,Jan 18,promotions
899,"Subscribe to me, and I subscribe to you",234,1.7k,Jan 18,promotions
900,Link your project and then another that’s similar!,0,137,Jan 18,promotions
901,"Hello all, plz support this comic😊😁, title : crash crush, link https://tapas.io/series/Crash-Crush-",63,59,Jan 16,promotions
902,Roast a character!,25,427,Jan 16,promotions
903,Do you create music for your own comics? [Share your music here!],230,199,Jan 16,promotions
904,Made comic trailer!,8,86,Jan 16,promotions
905,"Doing some comic promos! 3 slots, first come first serve! (3/3) FILLED",90,146,Jan 15,promotions
906,Read for Read/promotion for Genre benders,10,115,Jan 15,promotions
907,What is the gay agenda? Also add your comics if they relate to the gae agenda,122,192,Jan 14,promotions
908,Novels under 500 subs!,13,480,Jan 14,promotions
909,"LGBTQIA+ and BAME Creators, lemme read your stuff!",133,1.6k,Jan 14,promotions
910,Please Share Some All-Ages Comics!,32,352,Jan 14,promotions
911,Come Celebrate Women’s History Month with Our Zine!,297,253,Jan 14,promotions
912,Promoting new series,7,127,Jan 13,promotions
913,Happy Birthday to all!,80,117,Jan 13,promotions
914,New cover for the comic!,5,69,Jan 13,promotions
915,Comic strip anthology (share your latest strip),102,71,Jan 12,promotions
916,Share your Instagram!,2,935,Jan 12,promotions
917,Post an image of your latest villain + share your stuff,95,116,Jan 12,promotions
918,Let’s Support Eachother!,0,251,Jan 12,promotions
919,Highway to 100 Subs and Feedback(Closed),69,452,Jan 11,promotions
920,Insectis: New BL Band Comic,33,75,Jan 11,promotions
921,Isekai Truck Webcomic coming soon,190,108,Jan 10,promotions
922,"Read, Review, Sub! Let’s support each other",21,257,Jan 10,promotions
923,Show me your cartoony comics 👀,152,394,Jan 10,promotions
924,Looking for subscribers,46,121,Jan 10,promotions
925,Existential thread on NSFW || Promote your 18+ works,371,176,Jan 10,promotions
926,Villains promote your novels/comics,13,222,Jan 10,promotions
927,Promote yourself (not your series),141,5.1k,Jan 9,promotions
928,Subscribers for Subscribers,0,567,Jan 8,promotions
929,Hey guys sub for sub?,81,528,Jan 7,promotions
930,Share your comic + how to improve someone else’s comic,20,548,Jan 6,promotions
931,Action Creators Assemble! Questions and Promote Yourself!,206,199,Jan 5,promotions
932,Post some random image & i’ll check out your Comic,6,403,Jan 5,promotions
933,Looking for a NEW Comic/Manga to read?,94,134,Jan 4,promotions
934,"Time Breaker Chapter 5 is out, Isekai Novel, My Shameless Promotion, share yours too here",19,62,Jan 4,promotions
935,Chapter 4 and 4.5 are out!- Marina Mafia,210,91,Jan 4,promotions
936,Promote your novel/comic with your best scene/moment,13,361,Jan 2,promotions
937,Starting my 7th chapter! Promote yours in comments,124,248,Jan 2,promotions
938,What’s the recipe to making your main character?,8,127,Jan 1,promotions
939,Promote your comic with animation!,120,198,Jan 1,promotions
940,"SYNASTRY STREAM, everyone is welcome :D",10,451,Jan 1,promotions
941,Tapas veteran underrated comics worthy your time,138,317,Jan 1,promotions
942,New Queer Author Here,18,124,Dec '20,promotions
943,"Im new, just posted my novel, is it good enough?",162,81,Dec '20,promotions
944,New Story Artwork Promotion,2,93,Dec '20,promotions
945,Here we go : road to 50,95,271,Dec '20,promotions
946,Free Ink! (For comment),68,117,Dec '20,promotions
947,Easter Promo Art?,511,89,Dec '20,promotions
948,I Created a 20+ Comic/Novel & art server on Discord! Closed,90,426,Dec '20,promotions
949,Road to 25 Subs! (PROMOTION),475,433,Dec '20,promotions
950,Gothic & Dark Fantasy Novels!,21,176,Dec '20,promotions
951,Share your less popular work,310,221,Dec '20,promotions
952,Social media webcomic artists connections!,0,342,Dec '20,promotions
953,Tapas Dreams Book Club: Discord Book Club,49,206,Dec '20,promotions
954,"Creators, let’s follow us!",1,373,Dec '20,promotions
955,Let’s Promote our Novel/Comics! FOLLOW to FOLLOW,67,264,Dec '20,promotions
956,Books Feedback thread,13,214,Dec '20,promotions
957,"Share your webcomic Discord Servers, and your comic",152,181,Dec '20,promotions
958,Episode Milestone,19,196,Dec '20,promotions
959,YO! I’ll check out your comics if you check out mine!,219,532,Dec '20,promotions
960,Subs For Black Creators!,65,300,Dec '20,promotions
961,Drop your promotional art here!,356,578,Dec '20,promotions
962,Promote your novel under 30 subs,3,400,Dec '20,promotions
963,New comics or novels? Promote them here!,65,4.2k,Dec '20,promotions
964,Canvas Gems - a collaborative promotional project,11,371,Dec '20,promotions
965,Share your completed comic/novel + book cover,100,232,Dec '20,promotions
966,Drop Your Links!,10,909,Dec '20,promotions
967,"We reached 50 SUBS IN ONE WEEK! Celebrate with me, share your comics and novels, and read the description. YOU MIGHT WIN ART OF YOUR CHARACTER!",259,1.1k,Dec '20,promotions
968,Comics for Autism Awareness,73,128,Dec '20,promotions
969,Arc milestone thread(Share your novels and comics too),337,198,Dec '20,promotions
970,Furry comics? Post em here!,60,250,Dec '20,promotions
971,Follow the Fear,336,85,Dec '20,promotions
972,Tell me about your favourite character of your novel/comic then promote your work,10,264,Dec '20,promotions
973,Explain your comic/novel in a different language,141,480,Dec '20,promotions
974,Promote if your comic/novel resonates with sadd vibing cow!,9,126,Dec '20,promotions
975,Let’s subs each other to reach milestone!,116,334,Dec '20,promotions
976,My Comic is Finally Finished!,1,118,Dec '20,promotions
977,Comic en español (comic in spanish),448,519,Dec '20,promotions
978,Promote your novel/comic with a Gif,8,361,Dec '20,promotions
979,100 SUB YOU MADE IT POSSIBLE! - let’s help each other! <33,145,595,Dec '20,promotions
980,Comics adhd related,10,96,Dec '20,promotions
981,"Eternal Luck, new episodes out! Road to 30",145,42,Dec '20,promotions
982,The Whimsical Adventures with my Brain | Tapas tapas.io,30,51,Dec '20,promotions
983,Soulsborne meets Madoka Magica - New Novel,287,62,Dec '20,promotions
984,Share your Short Story Series!,17,174,Dec '20,promotions
985,Reader posting to social media,140,183,Dec '20,promotions
986,Check out Divine Acid! or not. Up to you,52,96,Dec '20,promotions
987,Check out Seeking Infinity!,301,61,Dec '20,promotions
988,Sub for sub - superhero stories,12,89,Dec '20,promotions
989,Monster Comics?,167,176,Dec '20,promotions
990,Shilling Out Youtube Channels,3,209,Dec '20,promotions
991,"New comic for people that enjoy silly, nonsensical and dark humour",85,130,Dec '20,promotions
992,Furry LGBTQ+ comics showcase!,25,1.3k,Dec '20,promotions
993,ARMY Promotion Thread!,228,109,Dec '20,promotions
994,Show me your comic and novel websites,13,158,Dec '20,promotions
995,Promote YOUR COMICS AND NOVELS HERE! But it has to be with MEMES!,169,739,Dec '20,promotions
996,Check out my most requested book,12,81,Dec '20,promotions
997,"♾️ Autism Awareness Week! ASD Creators, Share Your Work! ♾️",143,249,Dec '20,promotions
998,Sub for Sub (for Comics with less than 100 subs),8,420,Dec '20,promotions
999,Made a fun little quiz for my characters. See which Aphuanian Tale Character you most relate to!,111,162,Dec '20,promotions
1000,Share you Tiktok!,71,116,Dec '20,promotions
1001,1000 View Milestone & Subscriber Thank You! (and a surprise!),557,96,Dec '20,promotions
1002,Self Promo (The Galaxy Space Patrol),5,101,Dec '20,promotions
1003,Slavic/ Eastern European creators shout out,126,76,Dec '20,promotions
1004,The Soup 4 Soup thread!,0,255,Dec '20,promotions
1005,Answer 3 questions and share your comic,52,944,Dec '20,promotions
1006,Being Positive when it’s so hard,49,158,Dec '20,promotions
1007,Launching the tag #blackwriter,372,160,Dec '20,promotions
1008,New Release (Promote yours too!),0,161,Dec '20,promotions
1009,Writer’s Workshop!,66,90,Dec '20,promotions
1010,Promote your completed series,10,128,Dec '20,promotions
1011,Niche Comics and Novels,124,309,Dec '20,promotions
1012,Shamelessly shill your YT channel,145,207,Dec '20,promotions
1013,Read for Read Promotion & Support,842,813,Dec '20,promotions
1014,The adventures of oc’s,24,101,Dec '20,promotions
1015,Let’s make each other +100 subs! <3,193,443,Dec '20,promotions
1016,"NEW Creator, Sub4Sub Controversy",98,321,Dec '20,promotions
1017,Fan Art Drawing Contest!,507,73,Dec '20,promotions
1018,Helping Reach Ink Goals,22,193,Dec '20,promotions
1019,Support thread! Rate comics and leave some likes!,141,822,Nov '20,promotions
1020,"New creator, new novel",10,83,Nov '20,promotions
1021,Share maps from your comic/novel!,122,154,Nov '20,promotions
1022,Novel Promotions (under 50 subs),57,242,Nov '20,promotions
1023,When is your new ep + promote yourself,439,245,Nov '20,promotions
1024,I started an Arty Youtube Channel!,889,63,Nov '20,promotions
1025,I finished my comic! (feel free to share your completed series too!),9.4k,123,Nov '20,promotions
1026,Promotional HYPE TRAIN,55,348,Nov '20,promotions
1027,"Hey there, newbie here. Can you recommend your novels to me?",324,330,Nov '20,promotions
1028,Growing together (Sub for sub thread),82,125,Nov '20,promotions
1029,Comics Kickstarters To Check Out,627,891,Nov '20,promotions
1030,Comic/novel pick theme songs for your characters and promote your story,59,221,Nov '20,promotions
1031,Animal characters,379,90,Nov '20,promotions
1032,Subs for Subs Youtube Channel,37,71,Nov '20,promotions
1033,Road to 25 subs (Promote your work),297,629,Nov '20,promotions
1034,Follow for follow for new artists ^_^,38,74,Nov '20,promotions
1035,"First speedpaint in years, If you do speedpaints add yours too :D",358,272,Nov '20,promotions
1036,Year of the Ox? Have a Bovine Comic!,16,66,Nov '20,promotions
1037,Share your comics! Maybe recommend one or two hehe!,124,776,Nov '20,promotions
1038,A new comic (Well. new and improved),0,78,Nov '20,promotions
1039,Where to get the Tapas logo for ad?,36,120,Nov '20,promotions
1040,LGBTQ+ Asian artists and authors! Post your comic or novel here!,87,182,Nov '20,promotions
1041,"25 sub , comic follow 4 follow",338,108,Nov '20,promotions
1042,Want to find a community? Join Tapas Dreams discord!,0,406,Nov '20,promotions
1043,Let’s grow our comics! (Post them down below ^^),50,1.2k,Nov '20,promotions
1044,Promote Your Comics Under 50 Subs,81,408,Nov '20,promotions
1045,You got a new comic? Here’s the place to share it!,364,1.7k,Nov '20,promotions
1046,Menmar - New Chapter On!,277,77,Nov '20,promotions
1047,Unofficial Tapas Community Discord Server,3.6k,78,Nov '20,promotions
1048,Awesome Fan Made Trailer,6,179,Nov '20,promotions
1049,Pitch Your Novel/Comic!,106,406,Nov '20,promotions
1050,Tease your villain! - comic promotion,186,321,Nov '20,promotions
1051,Boys Love Creators Community!,1.8k,225,Nov '20,promotions
1052,Describe your story by telling me what it is NOT! (Comics and Novels),15,399,Nov '20,promotions
1053,Promote your comic/novel with a similar movie,170,383,Nov '20,promotions
1054,Promote your comic less then 500 subs with a catch,0,248,Nov '20,promotions
1055,Villain dialogue out of context | Promote your novel!,44,218,Nov '20,promotions
1056,Opinions on your own Main Character,18,530,Nov '20,promotions
1057,Post your comic and your fav comic,175,258,Nov '20,promotions
1058,Celebrate Your Fan Base!,2,206,Nov '20,promotions
1059,Drawing chapter cover on twitch stream,61,71,Nov '20,promotions
1060,"New comedy comic, get your new comic here!",4,237,Nov '20,promotions
1061,Show off the cool transformations in your comic and promote your work as well,61,188,Nov '20,promotions
1062,Promote your Comic… by saying the opposite!,2,526,Nov '20,promotions
1063,Have one of your characters promote their story (comics),52,395,Nov '20,promotions
1064,‘LAST WISH’ BL fantasy novel. FEEL FREE TO USE THIS thread to promote your novel too,39,90,Nov '20,promotions
1065,Shout out your comic,478,525,Nov '20,promotions
1066,What makes your comic or novel familiar and different?,0,361,Nov '20,promotions
1067,Promote your comic and follow as many people as you can,49,146,Nov '20,promotions
1068,Promote your novels and comics here!,1,358,Nov '20,promotions
1069,Looking for comics to promote,55,685,Nov '20,promotions
1070,Novel/comic inspiration thread,31,238,Nov '20,promotions
1071,"ZERO comment, is my story that boring?",243,367,Nov '20,promotions
1072,Promote your Universe!,111,325,Nov '20,promotions
1073,Share three comics you are subscribed to on tapas,2.6k,648,Nov '20,promotions
1074,New chapter of my comic released!,355,58,Nov '20,promotions
1075,Comic share + a creator question,7.6k,362,Oct '20,promotions
1076,Share Your Creations!,3,400,Oct '20,promotions
1077,Promote with your favorite comments! (Novels/Comics),77,204,Oct '20,promotions
1078,Promote your comic/novel here :],2,464,Oct '20,promotions
1079,Tapas Comics Under 400 Subscribers,75,3.5k,Oct '20,promotions
1080,Promote your novels and comics!,1,591,Oct '20,promotions
1081,First 25 sub for sub,48,609,Oct '20,promotions
1082,Recommend me your Dark Fantasy/Horror Comic. Mythology elements preferred!,1,243,Oct '20,promotions
1083,Fan art contest! Closed,108,1.3k,Oct '20,promotions
1084,Use Google translate to promote your book and comic,24,1.3k,Oct '20,promotions
1085,Should I change my book cover?,168,116,Oct '20,promotions
1086,Advertise your social media or brag bout your art!,38,354,Oct '20,promotions
1087,Have One of YOUR Characters Promote Their Story! (Novels),3.9k,473,Oct '20,promotions
1088,"Pantsers, have anything new or updated you want to promote, do it here",0,314,Oct '20,promotions
1089,Hey there creators!,44,771,Oct '20,promotions
1090,On the road to 400…♥,3,85,Oct '20,promotions
